order_id,customer_id,order_date,product_category,quantity,unit_price,gross_revenue,discount_pct,discount_amount,net_revenue,shipping_cost,promo_code,marketing_channel,ad_spend,device_type,payment_method,order_status,is_first_order,session_duration_sec,pages_viewed
2961547,21226,2023-11-24,Electronics,1,813.83,813.83,10,81.38,732.45,0,SUMMER25,Social Media,2.1,Desktop,PayPal,Processing,1,2522,7
1690406,49321,2023-11-02,Home & Garden,3,259.59,778.77,20,155.75,623.02,4.99,,Social Media,17.41,Mobile,Credit Card,Processing,1,400,6
6312100,81200,2021-06-26,Apparel,5,152.69,763.45,15,114.52,648.93,12.99,SUMMER25,Affiliate,0.0,Desktop,PayPal,Delivered,0,2660,7
3121873,96951,2021-09-29,Apparel,1,102.28,102.28,0,0.0,102.28,7.99,,Affiliate,0.0,Mobile,Credit Card,Delivered,0,1092,23
8396883,92719,2022-06-26,Electronics,1,457.78,457.78,15,68.67,389.11,4.99,FLASH15,Paid Search,13.45,Mobile,Apple Pay,Delivered,0,1807,12
5368907,84668,2024-10-28,Toys,2,45.27,90.54,5,4.53,86.01,12.99,LOYALTY5,Paid Search,11.69,Mobile,Apple Pay,Delivered,0,2147,22
7202069,18981,2022-01-17,Home & Garden,1,194.89,194.89,10,19.49,175.4,7.99,SAVE10,Paid Search,22.53,Mobile,Credit Card,Delivered,0,1400,11
4095339,42271,2021-07-25,Apparel,1,97.21,97.21,5,4.86,92.35,7.99,,Social Media,10.87,Desktop,PayPal,Shipped,0,1027,9
4441935,47353,2023-02-04,Beauty,1,62.05,62.05,0,0.0,62.05,19.99,SUMMER25,Email,0.0,Desktop,Google Pay,Shipped,0,1133,19
1581986,62296,2024-04-29,Electronics,4,638.55,2554.2,20,510.84,2043.36,19.99,,Direct,0.0,Mobile,Buy Now Pay Later,Delivered,0,250,3
6317433,44522,2021-10-17,Toys,1,87.98,87.98,0,0.0,87.98,0,FLASH15,Paid Search,5.08,Mobile,Credit Card,Delivered,0,661,22
6768795,40982,2023-02-06,Electronics,1,232.39,232.39,5,11.62,220.77,4.99,SUMMER25,Direct,0.0,Desktop,Debit Card,Delivered,0,422,13
3482092,40512,2022-10-14,Sports,3,64.06,192.18,20,38.44,153.74,12.99,,Paid Search,16.75,Desktop,PayPal,Delivered,1,2522,6
7256474,54942,2022-04-27,Apparel,3,92.88,278.64,10,27.86,250.78,7.99,WELCOME20,Organic Search,0.0,Desktop,Credit Card,Delivered,0,410,11
8523391,31643,2024-09-01,Apparel,1,47.88,47.88,10,4.79,43.09,4.99,LOYALTY5,Organic Search,0.0,Tablet,PayPal,Delivered,0,368,12
3727935,94607,2021-07-27,Beauty,3,53.3,159.9,0,0.0,159.9,0,,Email,0.0,Mobile,PayPal,Shipped,0,253,10
9953043,12757,2022-06-14,Sports,3,58.27,174.81,20,34.96,139.85,4.99,,Referral,0.0,Desktop,Apple Pay,Delivered,0,1766,18
6059333,30374,2023-02-25,Books,1,9.4,9.4,20,1.88,7.52,7.99,LOYALTY5,Social Media,11.37,Mobile,Apple Pay,Delivered,0,193,4
3038264,66498,2023-08-01,Apparel,2,223.62,447.24,0,0.0,447.24,4.99,LOYALTY5,Paid Search,7.33,Desktop,Credit Card,Shipped,1,1359,10
1418175,18907,2021-03-14,Beauty,1,48.01,48.01,10,4.8,43.21,0,WELCOME20,Organic Search,0.0,Mobile,Credit Card,Processing,0,1155,12
7787429,46500,2024-11-12,Beauty,4,110.9,443.6,20,88.72,354.88,12.99,,Paid Search,3.67,Mobile,Credit Card,Delivered,0,352,11
9378825,98501,2022-09-11,Home & Garden,4,23.62,94.48,0,0.0,94.48,7.99,WELCOME20,Organic Search,0.0,Desktop,PayPal,Delivered,0,1271,20
3439136,24322,2024-01-10,Books,3,18.41,55.23,0,0.0,55.23,4.99,,Organic Search,0.0,Mobile,Debit Card,Delivered,0,772,22
8684648,99166,2022-07-13,Electronics,3,287.41,862.23,10,86.22,776.01,0,,Paid Search,5.53,Desktop,Buy Now Pay Later,Delivered,0,935,3
6372365,16572,2022-08-13,Sports,1,221.07,221.07,5,11.05,210.02,7.99,,Organic Search,0.0,Mobile,Google Pay,Cancelled,0,1850,5
3618139,73624,2023-10-19,Apparel,2,178.06,356.12,0,0.0,356.12,0,,Social Media,8.63,Tablet,Debit Card,Delivered,0,2199,12
1072046,30730,2022-08-21,Sports,1,168.99,168.99,0,0.0,168.99,7.99,,Referral,0.0,Mobile,PayPal,Delivered,0,1192,18
9512910,82692,2023-10-03,Food & Grocery,2,38.77,77.54,0,0.0,77.54,19.99,WELCOME20,Referral,0.0,Mobile,Credit Card,Returned,1,681,24
6557966,62296,2024-02-01,Home & Garden,1,304.24,304.24,10,30.42,273.82,4.99,,Social Media,15.83,Desktop,Debit Card,Cancelled,0,2211,13
5958621,83579,2023-04-08,Home & Garden,3,193.61,580.83,5,29.04,551.79,19.99,FLASH15,Direct,0.0,Mobile,Credit Card,Processing,0,432,13
8950901,69638,2024-08-30,Home & Garden,1,176.03,176.03,0,0.0,176.03,0,,Social Media,18.3,Desktop,Buy Now Pay Later,Delivered,0,1053,6
5862493,17685,2024-07-05,Home & Garden,1,50.02,50.02,10,5.0,45.02,12.99,,Affiliate,0.0,Desktop,Apple Pay,Delivered,0,1010,6
3467651,85525,2024-12-30,Food & Grocery,1,34.46,34.46,20,6.89,27.57,0,,Email,0.0,Mobile,Debit Card,Delivered,0,1919,17
8417300,62923,2021-08-16,Toys,3,152.44,457.32,20,91.46,365.86,0,WELCOME20,Social Media,21.68,Mobile,Credit Card,Processing,0,318,14
6682181,99192,2024-01-06,Electronics,2,942.86,1885.72,5,94.29,1791.43,0,,Direct,0.0,Desktop,Credit Card,Delivered,0,2125,21
2884343,85880,2023-06-21,Home & Garden,1,62.76,62.76,0,0.0,62.76,12.99,WELCOME20,Social Media,3.55,Desktop,PayPal,Delivered,0,890,9
9035971,26361,2022-11-07,Beauty,4,16.3,65.2,5,3.26,61.94,0,LOYALTY5,Paid Search,11.26,Mobile,Debit Card,Returned,0,2464,2
1672446,45697,2021-10-14,Electronics,1,380.98,380.98,0,0.0,380.98,4.99,LOYALTY5,Social Media,7.62,Mobile,Debit Card,Processing,0,662,24
3339134,67912,2024-11-24,Electronics,3,748.17,2244.51,0,0.0,2244.51,0,SUMMER25,Organic Search,0.0,Desktop,Credit Card,Cancelled,0,2146,13
2960855,71993,2024-06-20,Books,2,58.48,116.96,10,11.7,105.26,4.99,,Email,0.0,Mobile,Apple Pay,Delivered,0,2004,6
6168761,22363,2023-02-17,Electronics,1,1138.94,1138.94,0,0.0,1138.94,0,LOYALTY5,Organic Search,0.0,Desktop,Debit Card,Delivered,0,1911,19
1416001,98501,2021-01-25,Toys,3,153.78,461.34,5,23.07,438.27,0,SUMMER25,Social Media,23.8,Mobile,Credit Card,Delivered,1,2220,24
7738231,19880,2021-06-12,Food & Grocery,2,12.59,25.18,0,0.0,25.18,0,FLASH15,Paid Search,17.24,Desktop,Debit Card,Processing,1,2525,9
4697107,11934,2022-07-23,Electronics,3,267.71,803.13,0,0.0,803.13,12.99,,Paid Search,19.04,Mobile,Credit Card,Processing,0,2229,2
8482180,91959,2024-07-22,Electronics,1,599.52,599.52,5,29.98,569.54,0,,Social Media,14.54,Mobile,PayPal,Delivered,0,1843,21
6996068,62581,2024-04-21,Toys,1,114.45,114.45,0,0.0,114.45,7.99,,Paid Search,12.08,Mobile,Debit Card,Returned,0,1257,9
2551575,46509,2022-05-25,Apparel,1,173.33,173.33,10,17.33,156.0,0,FLASH15,Referral,0.0,Mobile,Credit Card,Processing,0,762,3
6475520,45697,2023-06-04,Sports,3,51.21,153.63,0,0.0,153.63,7.99,FLASH15,Paid Search,7.68,Mobile,Credit Card,Returned,0,2202,16
1923311,82357,2024-11-03,Apparel,2,157.07,314.14,0,0.0,314.14,0,,Social Media,3.93,Desktop,Apple Pay,Processing,0,1737,24
4274069,60432,2022-04-14,Food & Grocery,3,46.7,140.1,0,0.0,140.1,0,,Paid Search,7.7,Desktop,Apple Pay,Shipped,0,53,13
9832094,87236,2023-04-18,Apparel,5,203.68,1018.4,15,152.76,865.64,0,SUMMER25,Paid Search,9.34,Mobile,Debit Card,Cancelled,0,1596,11
4726955,31798,2024-02-21,Sports,2,283.17,566.34,5,28.32,538.02,0,WELCOME20,Email,0.0,Mobile,Credit Card,Processing,0,218,22
5662844,89507,2024-11-09,Food & Grocery,1,65.93,65.93,25,16.48,49.45,7.99,SAVE10,Paid Search,9.24,Mobile,Debit Card,Returned,1,580,24
4283564,54118,2022-10-27,Food & Grocery,3,68.06,204.18,20,40.84,163.34,7.99,,Paid Search,14.32,Mobile,Credit Card,Returned,0,1223,23
1378303,87397,2021-10-15,Toys,3,21.56,64.68,10,6.47,58.21,4.99,,Affiliate,0.0,Desktop,PayPal,Delivered,0,962,15
2402399,84364,2022-11-14,Apparel,1,243.2,243.2,10,24.32,218.88,19.99,FLASH15,Paid Search,12.16,Mobile,PayPal,Delivered,0,276,17
8473546,26483,2021-02-03,Beauty,4,119.51,478.04,20,95.61,382.43,4.99,,Social Media,18.36,Mobile,Debit Card,Delivered,0,490,18
2465941,89840,2023-11-18,Toys,4,24.91,99.64,10,9.96,89.68,19.99,WELCOME20,Paid Search,11.28,Desktop,PayPal,Delivered,0,329,6
9586369,42271,2024-03-24,Apparel,2,137.6,275.2,15,41.28,233.92,4.99,SAVE10,Social Media,9.75,Mobile,Credit Card,Delivered,1,1779,5
7617330,30969,2022-04-02,Beauty,2,93.99,187.98,10,18.8,169.18,0,,Social Media,14.42,Tablet,Google Pay,Delivered,0,874,10
4262330,38785,2021-07-26,Electronics,3,741.81,2225.43,15,333.81,1891.62,4.99,WELCOME20,Paid Search,5.22,Mobile,Credit Card,Returned,1,1140,8
9228643,28726,2022-12-29,Electronics,4,1059.16,4236.64,0,0.0,4236.64,19.99,SAVE10,Social Media,9.51,Mobile,Debit Card,Processing,0,843,7
6331091,36685,2023-02-19,Beauty,5,21.96,109.8,5,5.49,104.31,7.99,,Organic Search,0.0,Mobile,Apple Pay,Processing,0,1497,24
9582482,23947,2023-05-01,Apparel,3,246.47,739.41,0,0.0,739.41,0,WELCOME20,Paid Search,10.5,Tablet,Credit Card,Delivered,0,1299,3
1940322,38864,2024-08-28,Apparel,1,249.93,249.93,10,24.99,224.94,4.99,,Social Media,22.43,Mobile,Buy Now Pay Later,Delivered,1,1049,6
7057663,38016,2021-01-19,Electronics,2,228.28,456.56,15,68.48,388.08,0,SUMMER25,Paid Search,10.37,Desktop,Debit Card,Delivered,0,745,17
7669916,44993,2024-10-01,Apparel,1,221.22,221.22,0,0.0,221.22,4.99,LOYALTY5,Direct,0.0,Mobile,PayPal,Cancelled,1,135,11
3482120,13905,2023-08-22,Electronics,4,1052.7,4210.8,0,0.0,4210.8,4.99,,Organic Search,0.0,Desktop,Credit Card,Cancelled,0,407,14
8174616,54597,2021-08-19,Food & Grocery,1,46.08,46.08,20,9.22,36.86,4.99,,Email,0.0,Desktop,Credit Card,Returned,1,2718,18
7201361,21226,2024-06-10,Sports,1,51.81,51.81,15,7.77,44.04,7.99,FLASH15,Display Ad,5.64,Mobile,Credit Card,Delivered,0,1684,10
7477894,86569,2021-08-04,Apparel,2,71.66,143.32,0,0.0,143.32,7.99,,Social Media,22.09,Desktop,PayPal,Delivered,0,1565,22
7255068,56566,2024-04-01,Sports,2,300.75,601.5,15,90.22,511.28,7.99,SUMMER25,Social Media,20.88,Tablet,Credit Card,Delivered,1,1351,1
1204527,31579,2023-09-12,Home & Garden,2,147.4,294.8,15,44.22,250.58,7.99,,Paid Search,11.0,Tablet,PayPal,Returned,0,2137,11
5775640,80697,2022-01-17,Apparel,1,204.06,204.06,5,10.2,193.86,7.99,,Direct,0.0,Desktop,Credit Card,Shipped,0,2255,5
6786800,80284,2022-04-11,Food & Grocery,1,76.07,76.07,10,7.61,68.46,0,,Referral,0.0,Mobile,PayPal,Delivered,0,2097,6
6894759,36365,2023-11-13,Apparel,1,211.92,211.92,0,0.0,211.92,7.99,,Social Media,13.26,Mobile,Apple Pay,Delivered,0,1515,18
6168814,44438,2024-11-21,Food & Grocery,1,51.53,51.53,0,0.0,51.53,0,,Social Media,13.52,Mobile,Google Pay,Shipped,0,1170,2
8475525,62296,2022-08-31,Apparel,1,136.18,136.18,5,6.81,129.37,4.99,LOYALTY5,Social Media,7.79,Mobile,Credit Card,Delivered,1,1710,5
2469661,58520,2023-09-12,Toys,3,139.98,419.94,25,104.98,314.96,0,FLASH15,Organic Search,0.0,Desktop,PayPal,Cancelled,1,1161,5
4618764,62296,2021-09-10,Sports,2,213.36,426.72,0,0.0,426.72,0,LOYALTY5,Organic Search,0.0,Desktop,Credit Card,Returned,0,2604,20
8452780,85525,2022-04-21,Sports,1,118.61,118.61,10,11.86,106.75,4.99,WELCOME20,Social Media,21.88,Desktop,Apple Pay,Delivered,0,1076,4
7972774,76562,2023-08-14,Home & Garden,2,79.86,159.72,15,23.96,135.76,4.99,LOYALTY5,Referral,0.0,Mobile,Credit Card,Cancelled,1,2753,16
8423991,83792,2023-06-05,Home & Garden,3,260.65,781.95,0,0.0,781.95,7.99,LOYALTY5,Paid Search,16.67,Desktop,Debit Card,Returned,0,370,1
5842475,20328,2024-12-31,Toys,1,51.27,51.27,10,5.13,46.14,7.99,WELCOME20,Email,0.0,Tablet,Apple Pay,Shipped,0,2764,13
3747945,83563,2024-05-17,Electronics,2,1013.77,2027.54,0,0.0,2027.54,0,SUMMER25,Affiliate,0.0,Mobile,Debit Card,Shipped,0,193,12
8110724,42271,2023-06-21,Books,2,36.53,73.06,20,14.61,58.45,12.99,,Social Media,0.6,Desktop,Credit Card,Cancelled,1,1718,1
7949018,81200,2023-07-25,Toys,3,53.1,159.3,0,0.0,159.3,19.99,SUMMER25,Paid Search,17.48,Mobile,Apple Pay,Returned,0,687,7
3341557,31798,2024-01-26,Beauty,2,90.96,181.92,15,27.29,154.63,0,,Social Media,18.5,Desktop,Credit Card,Delivered,0,1282,4
2444148,58434,2021-07-05,Beauty,1,43.05,43.05,0,0.0,43.05,4.99,LOYALTY5,Paid Search,10.94,Desktop,PayPal,Cancelled,0,720,11
3409867,98696,2021-08-17,Apparel,1,85.91,85.91,10,8.59,77.32,0,,Social Media,4.97,Mobile,PayPal,Delivered,0,2746,13
4486033,65333,2021-10-26,Sports,1,195.83,195.83,20,39.17,156.66,0,LOYALTY5,Paid Search,5.62,Desktop,Buy Now Pay Later,Delivered,1,664,22
6087374,71348,2021-02-23,Home & Garden,5,335.8,1679.0,0,0.0,1679.0,0,SUMMER25,Display Ad,21.44,Mobile,Credit Card,Processing,0,1727,18
8962686,11934,2024-03-09,Apparel,1,56.28,56.28,0,0.0,56.28,7.99,,Referral,0.0,Desktop,Debit Card,Returned,0,1523,8
9813089,91959,2024-01-12,Apparel,1,240.03,240.03,15,36.0,204.03,19.99,SUMMER25,Organic Search,0.0,Desktop,Debit Card,Processing,0,459,20
6627359,80644,2022-12-15,Sports,2,232.84,465.68,25,116.42,349.26,4.99,,Email,0.0,Desktop,PayPal,Shipped,1,731,1
2109238,63269,2023-07-08,Beauty,1,14.45,14.45,15,2.17,12.28,0,,Social Media,23.68,Mobile,Debit Card,Delivered,0,2040,14
7304414,23104,2021-10-01,Food & Grocery,1,25.65,25.65,5,1.28,24.37,7.99,,Email,0.0,Mobile,Apple Pay,Shipped,1,2240,22
2483915,82845,2022-10-07,Books,1,58.4,58.4,15,8.76,49.64,7.99,WELCOME20,Social Media,18.31,Desktop,PayPal,Delivered,0,764,6
1111046,22280,2024-08-22,Food & Grocery,1,67.75,67.75,0,0.0,67.75,4.99,,Email,0.0,Desktop,PayPal,Cancelled,1,1304,12
7869609,93886,2024-12-19,Home & Garden,1,112.03,112.03,0,0.0,112.03,0,,Paid Search,18.8,Tablet,Debit Card,Returned,1,2512,2
5585697,31798,2021-05-02,Sports,1,51.51,51.51,25,12.88,38.63,0,,Affiliate,0.0,Mobile,Credit Card,Cancelled,0,736,7
7954391,18907,2024-06-25,Home & Garden,5,221.06,1105.3,0,0.0,1105.3,7.99,FLASH15,Affiliate,0.0,Desktop,Debit Card,Delivered,0,1853,1
3934217,30635,2021-03-21,Food & Grocery,3,80.84,242.52,0,0.0,242.52,19.99,LOYALTY5,Social Media,4.18,Mobile,Debit Card,Delivered,0,2501,5
8753086,16572,2022-11-22,Food & Grocery,2,84.15,168.3,0,0.0,168.3,4.99,WELCOME20,Paid Search,3.53,Desktop,Credit Card,Processing,1,1685,2
3297254,17592,2021-05-01,Books,3,55.66,166.98,20,33.4,133.58,7.99,,Social Media,8.01,Mobile,PayPal,Shipped,0,2664,7
4342987,11504,2022-10-19,Electronics,1,927.81,927.81,10,92.78,835.03,4.99,,Organic Search,0.0,Mobile,Credit Card,Processing,0,1282,16
4120669,93136,2022-08-12,Toys,2,128.81,257.62,0,0.0,257.62,19.99,LOYALTY5,Social Media,4.33,Desktop,Debit Card,Cancelled,0,2218,1
7405029,81426,2022-09-13,Apparel,2,95.72,191.44,15,28.72,162.72,7.99,,Organic Search,0.0,Desktop,PayPal,Cancelled,0,213,7
5856386,59615,2023-07-26,Food & Grocery,2,81.17,162.34,0,0.0,162.34,0,SUMMER25,Organic Search,0.0,Desktop,Debit Card,Shipped,1,506,10
9230660,13278,2022-05-08,Beauty,1,110.51,110.51,0,0.0,110.51,4.99,SUMMER25,Organic Search,0.0,Mobile,Apple Pay,Delivered,0,2576,22
1708550,30969,2023-05-16,Sports,4,254.36,1017.44,0,0.0,1017.44,19.99,LOYALTY5,Direct,0.0,Mobile,Credit Card,Shipped,1,806,16
6066600,24371,2024-05-14,Electronics,1,846.09,846.09,15,126.91,719.18,0,SUMMER25,Organic Search,0.0,Mobile,Credit Card,Processing,1,2229,11
6098837,42087,2022-06-10,Food & Grocery,2,66.63,133.26,0,0.0,133.26,0,,Paid Search,22.14,Mobile,Apple Pay,Delivered,0,2302,16
9289630,37653,2021-09-18,Home & Garden,1,28.74,28.74,0,0.0,28.74,0,,Direct,0.0,Mobile,Apple Pay,Delivered,0,1549,15
8775431,11025,2021-10-20,Home & Garden,2,311.11,622.22,5,31.11,591.11,19.99,SUMMER25,Organic Search,0.0,Desktop,Credit Card,Delivered,0,1057,6
4766824,24662,2023-08-05,Apparel,1,165.3,165.3,0,0.0,165.3,0,WELCOME20,Paid Search,18.03,Mobile,Debit Card,Delivered,0,314,8
1450300,85914,2023-12-19,Apparel,2,50.34,100.68,0,0.0,100.68,0,WELCOME20,Social Media,4.25,Mobile,PayPal,Cancelled,0,617,4
1041048,27154,2022-04-24,Electronics,1,52.94,52.94,0,0.0,52.94,7.99,SUMMER25,Email,0.0,Desktop,Credit Card,Delivered,0,1981,19
3584093,84668,2023-03-02,Apparel,1,158.62,158.62,10,15.86,142.76,7.99,,Social Media,11.98,Mobile,Buy Now Pay Later,Delivered,0,1505,8
5406989,58520,2022-08-11,Beauty,5,27.53,137.65,25,34.41,103.24,12.99,,Paid Search,1.06,Desktop,PayPal,Shipped,0,2247,8
6036006,62296,2021-09-14,Toys,4,70.0,280.0,5,14.0,266.0,4.99,,Paid Search,8.15,Mobile,PayPal,Shipped,1,2200,7
8927925,76784,2022-03-21,Sports,4,207.57,830.28,10,83.03,747.25,12.99,,Direct,0.0,Desktop,PayPal,Shipped,0,1287,7
3083343,37760,2021-10-17,Home & Garden,1,223.99,223.99,20,44.8,179.19,19.99,,Paid Search,22.25,Mobile,Credit Card,Shipped,0,1798,6
5826621,17716,2021-02-18,Sports,2,147.37,294.74,0,0.0,294.74,7.99,,Social Media,20.02,Desktop,Debit Card,Delivered,0,1949,8
7998729,11025,2021-09-25,Sports,2,180.61,361.22,15,54.18,307.04,4.99,SAVE10,Organic Search,0.0,Desktop,Apple Pay,Delivered,0,246,11
4009367,15695,2022-10-04,Food & Grocery,2,37.25,74.5,25,18.62,55.88,4.99,WELCOME20,Social Media,20.71,Mobile,Google Pay,Processing,0,747,10
9252486,30730,2021-07-27,Toys,3,37.17,111.51,0,0.0,111.51,0,,Social Media,17.5,Mobile,PayPal,Returned,0,1051,4
5106228,86503,2021-10-28,Books,1,10.34,10.34,20,2.07,8.27,4.99,,Social Media,20.45,Mobile,Credit Card,Processing,0,774,15
1477187,21395,2023-10-05,Food & Grocery,3,54.48,163.44,25,40.86,122.58,12.99,WELCOME20,Social Media,22.92,Mobile,Debit Card,Delivered,0,2769,7
3002438,87992,2022-10-19,Apparel,3,200.68,602.04,0,0.0,602.04,19.99,,Email,0.0,Mobile,Google Pay,Delivered,0,1065,7
5650930,54473,2022-07-28,Food & Grocery,1,82.15,82.15,0,0.0,82.15,0,SUMMER25,Referral,0.0,Desktop,Credit Card,Cancelled,1,2719,15
9272010,64948,2021-06-14,Apparel,3,19.47,58.41,20,11.68,46.73,0,,Affiliate,0.0,Mobile,PayPal,Shipped,0,2782,9
2119456,11220,2023-02-08,Apparel,3,203.15,609.45,15,91.42,518.03,4.99,,Paid Search,4.82,Mobile,Credit Card,Returned,1,1872,22
7069317,55082,2024-09-26,Books,4,52.38,209.52,0,0.0,209.52,0,WELCOME20,Organic Search,0.0,Mobile,Credit Card,Delivered,0,338,1
9061215,47353,2021-01-28,Sports,4,132.57,530.28,0,0.0,530.28,7.99,,Social Media,15.31,Desktop,Credit Card,Delivered,0,847,24
8316015,22676,2022-01-16,Electronics,1,1144.05,1144.05,15,171.61,972.44,0,SAVE10,Social Media,4.82,Desktop,PayPal,Delivered,0,2058,20
5327037,19602,2022-01-17,Home & Garden,2,296.65,593.3,15,89.0,504.3,4.99,,Organic Search,0.0,Mobile,Credit Card,Delivered,0,2386,7
8986637,91416,2021-09-11,Sports,1,45.01,45.01,0,0.0,45.01,19.99,FLASH15,Paid Search,10.31,Mobile,Apple Pay,Returned,1,1057,12
3006281,95717,2022-05-09,Beauty,5,81.34,406.7,0,0.0,406.7,7.99,WELCOME20,Affiliate,0.0,Mobile,PayPal,Delivered,0,1791,3
7261294,97782,2023-07-03,Electronics,1,905.65,905.65,10,90.56,815.09,12.99,,Display Ad,14.23,Desktop,Debit Card,Cancelled,0,1997,12
9598757,17100,2022-09-07,Sports,5,123.45,617.25,0,0.0,617.25,7.99,SAVE10,Affiliate,0.0,Desktop,PayPal,Cancelled,0,1681,15
1294357,38080,2023-07-16,Electronics,1,898.28,898.28,20,179.66,718.62,12.99,,Organic Search,0.0,Mobile,Google Pay,Cancelled,1,2740,6
5354311,44993,2024-04-29,Food & Grocery,1,25.79,25.79,5,1.29,24.5,0,SUMMER25,Paid Search,23.88,Mobile,PayPal,Returned,1,2022,20
3732123,47353,2023-10-20,Home & Garden,1,379.72,379.72,25,94.93,284.79,0,WELCOME20,Email,0.0,Mobile,Credit Card,Returned,1,2154,16
1981641,31178,2022-03-20,Home & Garden,1,19.99,19.99,0,0.0,19.99,7.99,,Organic Search,0.0,Mobile,Credit Card,Returned,0,1559,23
3451774,40512,2023-01-27,Beauty,1,61.03,61.03,0,0.0,61.03,0,,Affiliate,0.0,Desktop,Google Pay,Processing,0,2303,11
6363359,61173,2022-11-10,Sports,5,317.61,1588.05,15,238.21,1349.84,7.99,SUMMER25,Direct,0.0,Desktop,Debit Card,Delivered,0,1954,1
8735034,33416,2023-11-13,Books,1,26.13,26.13,0,0.0,26.13,4.99,,Display Ad,6.65,Desktop,Google Pay,Processing,0,821,9
3273269,76307,2021-10-21,Apparel,1,197.11,197.11,0,0.0,197.11,0,,Organic Search,0.0,Desktop,PayPal,Returned,0,2015,11
